============================== SRIM-2012.03 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  N(1.02 MeV) ==> Layer 1(  1 um) ==========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  7 .1014428E+07   1000792E-02  .3812E+02 -.3167E+02   .9998873  .0141763 -.0049462
T    2  7 .1017108E+07   1000180E-02  .9250E+01  .2704E+02   .9999943 -.0012516  .0031503
T    3  7 .1012671E+07   1000504E-02 -.1478E+02 -.2838E+02   .9999344 -.0108797 -.0035688
T    4  7 .1015180E+07   1000485E-02 -.4952E+02  .1185E+02   .9999520 -.0087583 -.0043962
T    5  7 .1012809E+07   1000136E-02  .1299E+02 -.1552E+02   .9999846  .0044705 -.0033035
T    6  7 .1011829E+07   1000597E-02 -.1378E+02  .2411E+02   .9999843 -.0018791  .0052764
T    7  7 .1012546E+07   1000676E-02 -.9199E+01  .1279E+02   .9999989 -.0014189  .0004815
T    8  7 .1010126E+07   1000754E-02 -.3242E+02 -.8898E+01   .9998633 -.0145128 -.0079280
T    9  7 .1011538E+07   1000271E-02  .5152E+02  .5232E+01   .9997501  .0195293  .0108746
T   10  7 .1008868E+07   1000266E-02  .4018E+02 -.2793E+02   .9999362  .0103978 -.0044231
T   11  7 .1006864E+07   1000747E-02 -.4535E+01 -.7926E+01   .9999935 -.0004119 -.0035913
T   12  7 .1010869E+07   1000645E-02  .1253E+02  .2466E+02   .9999925 -.0016091  .0035292
T   13  7 .1009519E+07   1000196E-02 -.2984E+02  .1743E+02   .9999701 -.0077041  .0006687
T   14  7 .1003662E+07   1000336E-02 -.8704E+01  .1736E+00   .9999958  .0017012 -.0023514
T   15  7 .1013346E+07   1000737E-02 -.3921E+01 -.1617E+02   .9999731  .0039746 -.0061569
T   16  7 .1012531E+07   1000648E-02  .1434E+02 -.4174E+02   .9999706  .0033478 -.0068951
T   17  7 .1020187E+07   1000572E-02  .8879E+00 -.2065E+02   .9999922  .0000992 -.0039589
T   18  7 .1010320E+07   1000624E-02 -.1499E+02  .7821E+01   .9999943 -.0026012 -.0021439
T   19  7 .1010456E+07   1000063E-02 -.1206E+02 -.4662E+02   .9997346 -.0002201 -.0230351
T   20  7 .1016377E+07   1000627E-02  .1049E+02 -.4331E+00   .9999966  .0026074 -.0000574
T   21  7 .1009172E+07   1000334E-02  .2010E+02 -.1979E+02   .9999781  .0008287 -.0065602
T   22  7 .1006402E+07   1000249E-02 -.5494E+01  .1084E+02   .9999953  .0005914  .0029957
T   23  7 .1014235E+07   1000345E-02  .1040E+02  .1360E+02   .9999916  .0017417  .0037040
T   24  7 .1016709E+07   1000512E-02  .1391E+02  .1716E+02   .9999914  .0041400  .0002152
T   25  7 .1016815E+07   1000663E-02  .6736E+01  .2502E+02   .9999514  .0042904  .0088758
T   26  7 .1005451E+07   1000808E-02  .2151E+02 -.1584E+01   .9999806  .0061275  .0011071
T   27  7 .1006281E+07   1000177E-02  .7434E+01 -.5087E+02   .9999479 -.0027915 -.0098224
T   28  7 .1014507E+07   1000531E-02  .1248E+02 -.1349E+01   .9999877  .0045879 -.0019028
T   29  7 .1012840E+07   1000256E-02 -.6730E+01  .1686E+02   .9999951  .0016342  .0026540
T   30  7 .1006455E+07   1000740E-02  .6432E+02 -.1438E+03   .9996116  .0122711 -.0250201
T   31  7 .1008493E+07   1000213E-02  .2522E+02 -.4885E+02   .9993317  .0208564 -.0300194
T   32  7 .1013127E+07   1000625E-02  .1442E+02 -.1660E+02   .9999668  .0067120 -.0046144
T   33  7 .1013430E+07   1000433E-02  .1817E+02  .1955E+02   .9999603  .0082514  .0033655
T   34  7 .1016712E+07   1000691E-02  .1911E+02 -.1074E+02   .9999679  .0053317 -.0059757
T   35  7 .1006915E+07   1000571E-02  .2709E+03  .1030E+03   .9993439  .0341051  .0121939
T   36  7 .1014338E+07   1000360E-02  .8899E+01  .1171E+02   .9999937  .0004902  .0035248
T   37  7 .1012006E+07   1000101E-02  .9743E+00  .2378E+02   .9999756 -.0009670  .0069142
T   38  7 .1011378E+07   1000398E-02  .2897E+02 -.7575E+02   .9997392  .0022567 -.0227275
T   39  7 .1008895E+07   1000751E-02  .3179E+02 -.5591E+02   .9999353  .0061487 -.0095730
T   40  7 .1006154E+07   1000758E-02 -.4933E+01  .1137E+02   .9999821  .0011393  .0058739
T   41  7 .1008131E+07   1000264E-02  .5204E+01  .8915E+01   .9999979 -.0006500  .0019546
T   42  7 .1007935E+07   1000690E-02 -.1753E+02  .1531E+02   .9999789 -.0026760  .0059170
T   43  7 .1013009E+07   1000391E-02 -.2874E+02 -.7899E+01   .9999921 -.0002668 -.0039635
T   44  7 .1010084E+07   1000165E-02  .1070E+02  .4688E+01   .9999950  .0025127  .0019149
T   45  7 .1013073E+07   1000741E-02 -.3373E+02  .1574E+02   .9999234 -.0084518  .0090379
T   46  7 .1013701E+07   1000349E-02 -.3108E+02 -.2715E+01   .9998902 -.0143379 -.0037553
T   47  7 .1011959E+07   1000436E-02  .1595E+02  .2813E+01   .9999926  .0027157  .0027401
T   48  7 .1012598E+07   1000256E-02  .2795E+02  .3139E+02   .9999794  .0058021  .0027323
T   49  7 .1010338E+07   1000805E-02  .4345E+01 -.3183E+00   .9999974  .0010706  .0020134
T   50  7 .1007677E+07   1000696E-02 -.4268E+02 -.1570E+02   .9998828 -.0085439 -.0127071
T   51  7 .1017867E+07   1000663E-02  .3144E+02 -.5722E+02   .9989318  .0194144 -.0419328
T   52  7 .1011312E+07   1000792E-02  .8896E+02 -.7224E+02   .9998336  .0122689 -.0134965
T   53  7 .1007514E+07   1000755E-02 -.1477E+02  .1886E+02   .9999685 -.0076403  .0021534
